Age,BusinessTravel_Travel_Rarely,BusinessTravel_Travel_Frequently,BusinessTravel_Non-Travel,DailyRate,Department_Sales,Department_Research & Development,Department_Human Resources,DistanceFromHome,Education,EducationField_Marketing,EducationField_Medical,EducationField_Life Sciences,EducationField_Human Resources,EducationField_Technical Degree,EducationField_Other,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole_Manager,JobRole_Laboratory Technician,JobRole_Sales Executive,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Human Resources,JobRole_Healthcare Representative,JobRole_Sales Representative,JobSatisfaction,MaritalStatus_Single,MaritalStatus_Married,MaritalStatus_Divorced,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18_Y,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
32.0,0.0,1.0,0.0,238.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1939.0,1.0,0.0,47.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2432.0,15318.0,3.0,1.0,1.0,14.0,3.0,1.0,80.0,0.0,8.0,2.0,3.0,4.0,1.0,0.0,3.0,1
40.0,0.0,0.0,1.0,218.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1468.0,4.0,1.0,55.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,13757.0,25178.0,2.0,1.0,0.0,11.0,3.0,3.0,80.0,1.0,16.0,5.0,3.0,9.0,8.0,4.0,8.0,0
33.0,1.0,0.0,0.0,147.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1207.0,2.0,1.0,99.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3600.0,8429.0,1.0,1.0,0.0,13.0,3.0,4.0,80.0,1.0,5.0,2.0,3.0,5.0,4.0,1.0,4.0,0
41.0,1.0,0.0,0.0,645.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,534.0,2.0,1.0,49.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8392.0,19566.0,1.0,1.0,0.0,16.0,3.0,3.0,80.0,1.0,10.0,2.0,3.0,10.0,7.0,0.0,7.0,0
46.0,0.0,1.0,0.0,638.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,124.0,3.0,1.0,40.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10673.0,3142.0,2.0,1.0,1.0,13.0,3.0,3.0,80.0,1.0,21.0,5.0,2.0,10.0,9.0,9.0,5.0,0
36.0,1.0,0.0,0.0,429.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1294.0,3.0,0.0,53.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5410.0,2323.0,9.0,1.0,1.0,11.0,3.0,4.0,80.0,0.0,18.0,2.0,3.0,16.0,14.0,5.0,12.0,0
20.0,1.0,0.0,0.0,1097.0,0.0,1.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1016.0,4.0,0.0,98.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2600.0,18275.0,1.0,1.0,1.0,15.0,3.0,1.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1
29.0,1.0,0.0,0.0,1401.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1192.0,2.0,0.0,54.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3131.0,26342.0,1.0,1.0,0.0,13.0,3.0,1.0,80.0,1.0,10.0,5.0,3.0,10.0,8.0,0.0,8.0,0
47.0,1.0,0.0,0.0,983.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,574.0,1.0,0.0,65.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5070.0,7389.0,5.0,1.0,0.0,13.0,3.0,3.0,80.0,3.0,20.0,2.0,3.0,5.0,0.0,0.0,4.0,0
23.0,1.0,0.0,0.0,1243.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,811.0,3.0,1.0,63.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1601.0,3445.0,1.0,1.0,1.0,21.0,4.0,3.0,80.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1
55.0,1.0,0.0,0.0,111.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,106.0,1.0,1.0,70.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,10239.0,18092.0,3.0,1.0,0.0,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,1.0,0.0,1.0,0.0,0
34.0,1.0,0.0,0.0,704.0,1.0,0.0,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2035.0,4.0,0.0,95.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,6712.0,8978.0,1.0,1.0,0.0,21.0,4.0,4.0,80.0,2.0,8.0,2.0,3.0,8.0,7.0,1.0,7.0,0
38.0,1.0,0.0,0.0,130.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1125.0,4.0,1.0,32.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7351.0,20619.0,7.0,1.0,0.0,16.0,3.0,3.0,80.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,0
54.0,1.0,0.0,0.0,1217.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,126.0,1.0,0.0,60.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,13549.0,24001.0,9.0,1.0,0.0,12.0,3.0,1.0,80.0,1.0,16.0,5.0,1.0,4.0,3.0,0.0,3.0,0
43.0,1.0,0.0,0.0,920.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1255.0,3.0,1.0,96.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,19740.0,18625.0,3.0,1.0,0.0,14.0,3.0,2.0,80.0,1.0,25.0,2.0,3.0,8.0,7.0,0.0,7.0,0
35.0,1.0,0.0,0.0,982.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1172.0,4.0,1.0,58.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2258.0,16340.0,6.0,1.0,0.0,12.0,3.0,2.0,80.0,1.0,10.0,2.0,3.0,8.0,0.0,1.0,7.0,0
50.0,1.0,0.0,0.0,1322.0,0.0,1.0,0.0,28.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1317.0,4.0,0.0,43.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16880.0,22422.0,4.0,1.0,1.0,11.0,3.0,2.0,80.0,0.0,25.0,2.0,3.0,3.0,2.0,1.0,2.0,0
31.0,0.0,1.0,0.0,163.0,0.0,1.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1736.0,4.0,0.0,30.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5238.0,6670.0,2.0,1.0,0.0,20.0,4.0,4.0,80.0,0.0,9.0,3.0,2.0,5.0,4.0,1.0,4.0,0
55.0,1.0,0.0,0.0,685.0,1.0,0.0,0.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1578.0,3.0,1.0,60.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,19586.0,23037.0,1.0,1.0,0.0,21.0,4.0,3.0,80.0,1.0,36.0,3.0,3.0,36.0,6.0,2.0,13.0,0
38.0,1.0,0.0,0.0,168.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,743.0,3.0,0.0,81.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7861.0,15397.0,4.0,1.0,1.0,14.0,3.0,4.0,80.0,0.0,10.0,4.0,4.0,1.0,0.0,0.0,0.0,0
56.0,0.0,1.0,0.0,1240.0,0.0,1.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1071.0,1.0,0.0,63.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2942.0,12154.0,2.0,1.0,0.0,19.0,3.0,2.0,80.0,1.0,18.0,4.0,3.0,5.0,4.0,0.0,3.0,0
34.0,1.0,0.0,0.0,1351.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1580.0,2.0,1.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5484.0,13008.0,9.0,1.0,0.0,17.0,3.0,2.0,80.0,1.0,9.0,3.0,2.0,2.0,2.0,2.0,1.0,0
39.0,1.0,0.0,0.0,613.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2062.0,4.0,1.0,42.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9991.0,21457.0,4.0,1.0,0.0,15.0,3.0,1.0,80.0,1.0,9.0,5.0,3.0,7.0,7.0,1.0,7.0,0
40.0,1.0,0.0,0.0,630.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,215.0,3.0,1.0,67.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,10855.0,8552.0,7.0,1.0,0.0,11.0,3.0,1.0,80.0,1.0,15.0,2.0,2.0,12.0,11.0,2.0,11.0,0
34.0,0.0,0.0,1.0,999.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1374.0,1.0,0.0,92.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2029.0,15891.0,1.0,1.0,0.0,20.0,4.0,3.0,80.0,3.0,5.0,2.0,3.0,5.0,4.0,0.0,0.0,0
35.0,1.0,0.0,0.0,556.0,0.0,1.0,0.0,23.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,261.0,2.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,5916.0,15497.0,3.0,1.0,1.0,13.0,3.0,1.0,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,1.0,1
50.0,1.0,0.0,0.0,804.0,0.0,1.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1030.0,1.0,1.0,64.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2380.0,20165.0,4.0,1.0,0.0,18.0,3.0,2.0,80.0,0.0,8.0,5.0,3.0,1.0,0.0,0.0,0.0,0
55.0,1.0,0.0,0.0,1117.0,1.0,0.0,0.0,18.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,597.0,1.0,0.0,83.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16835.0,9873.0,3.0,1.0,0.0,23.0,4.0,4.0,80.0,0.0,37.0,2.0,3.0,10.0,9.0,7.0,7.0,0
60.0,1.0,0.0,0.0,370.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1697.0,3.0,1.0,92.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,10883.0,20467.0,3.0,1.0,0.0,20.0,4.0,3.0,80.0,1.0,19.0,2.0,4.0,1.0,0.0,0.0,0.0,0
50.0,0.0,1.0,0.0,878.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2044.0,2.0,1.0,94.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6728.0,14255.0,7.0,1.0,0.0,12.0,3.0,4.0,80.0,2.0,12.0,3.0,3.0,6.0,3.0,0.0,1.0,1
33.0,1.0,0.0,0.0,147.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,305.0,3.0,0.0,47.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2622.0,13248.0,6.0,1.0,0.0,21.0,4.0,4.0,80.0,0.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,0
50.0,1.0,0.0,0.0,410.0,1.0,0.0,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2055.0,4.0,1.0,39.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10854.0,16586.0,4.0,1.0,1.0,13.0,3.0,2.0,80.0,1.0,20.0,3.0,3.0,3.0,2.0,2.0,0.0,1
33.0,1.0,0.0,0.0,586.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,855.0,1.0,1.0,48.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4037.0,21816.0,1.0,1.0,0.0,22.0,4.0,1.0,80.0,1.0,9.0,5.0,3.0,9.0,8.0,0.0,8.0,0
41.0,1.0,0.0,0.0,1276.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,625.0,2.0,0.0,91.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16595.0,5626.0,7.0,1.0,0.0,16.0,3.0,2.0,80.0,1.0,22.0,2.0,3.0,18.0,16.0,11.0,8.0,0
40.0,0.0,1.0,0.0,1395.0,0.0,1.0,0.0,26.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,202.0,2.0,0.0,54.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5605.0,8504.0,1.0,1.0,0.0,11.0,3.0,1.0,80.0,1.0,20.0,2.0,3.0,20.0,7.0,2.0,13.0,0
37.0,1.0,0.0,0.0,1319.0,0.0,1.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,474.0,3.0,1.0,51.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5974.0,17001.0,4.0,1.0,1.0,13.0,3.0,1.0,80.0,2.0,13.0,2.0,3.0,7.0,7.0,6.0,7.0,0
45.0,1.0,0.0,0.0,1448.0,0.0,1.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1465.0,2.0,1.0,55.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,9380.0,14720.0,4.0,1.0,1.0,18.0,3.0,4.0,80.0,2.0,10.0,4.0,4.0,3.0,1.0,1.0,2.0,0
34.0,1.0,0.0,0.0,1303.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,579.0,4.0,1.0,62.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2768.0,8416.0,3.0,1.0,0.0,12.0,3.0,3.0,80.0,1.0,14.0,3.0,3.0,7.0,3.0,5.0,7.0,0
42.0,1.0,0.0,0.0,557.0,0.0,1.0,0.0,18.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1998.0,4.0,1.0,35.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5410.0,11189.0,6.0,1.0,1.0,17.0,3.0,3.0,80.0,1.0,9.0,3.0,2.0,4.0,3.0,1.0,2.0,0
47.0,1.0,0.0,0.0,1001.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1827.0,3.0,0.0,92.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,10333.0,19271.0,8.0,1.0,1.0,12.0,3.0,3.0,80.0,1.0,28.0,4.0,3.0,22.0,11.0,14.0,10.0,0
42.0,0.0,0.0,1.0,495.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1334.0,3.0,1.0,37.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,17861.0,26582.0,0.0,1.0,1.0,13.0,3.0,4.0,80.0,0.0,21.0,3.0,2.0,20.0,8.0,2.0,10.0,0
49.0,0.0,1.0,0.0,636.0,0.0,1.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,396.0,3.0,0.0,35.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18665.0,25594.0,9.0,1.0,1.0,11.0,3.0,4.0,80.0,0.0,22.0,4.0,3.0,3.0,2.0,1.0,2.0,0
36.0,1.0,0.0,0.0,660.0,0.0,1.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1052.0,1.0,1.0,81.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4834.0,7858.0,7.0,1.0,0.0,14.0,3.0,2.0,80.0,1.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,1
43.0,1.0,0.0,0.0,574.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1971.0,1.0,1.0,30.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,7510.0,16873.0,1.0,1.0,0.0,17.0,3.0,2.0,80.0,1.0,10.0,1.0,3.0,10.0,9.0,0.0,9.0,0
38.0,1.0,0.0,0.0,903.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1573.0,3.0,1.0,81.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4855.0,7653.0,4.0,1.0,0.0,11.0,3.0,1.0,80.0,2.0,7.0,2.0,3.0,5.0,2.0,1.0,4.0,1
19.0,1.0,0.0,0.0,419.0,1.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,959.0,4.0,1.0,37.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2121.0,9947.0,1.0,1.0,1.0,13.0,3.0,2.0,80.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,1
38.0,0.0,1.0,0.0,240.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,803.0,1.0,0.0,75.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5980.0,26085.0,6.0,1.0,1.0,12.0,3.0,4.0,80.0,0.0,17.0,2.0,3.0,15.0,7.0,4.0,12.0,0
39.0,1.0,0.0,0.0,408.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,721.0,4.0,0.0,80.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4553.0,20978.0,1.0,1.0,0.0,11.0,3.0,1.0,80.0,0.0,20.0,4.0,3.0,20.0,7.0,11.0,10.0,0
32.0,0.0,1.0,0.0,1311.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,359.0,2.0,1.0,100.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2794.0,26062.0,1.0,1.0,0.0,20.0,4.0,3.0,80.0,0.0,5.0,3.0,1.0,5.0,1.0,0.0,3.0,0
